PER,N_ENT,FOL,ENT,CON,V_SEL,N_HOG,H_MUD,N_REN,P1,P2,P3_1,P3_2,P3_3,P3_4,P3_5,P3_6,P3_7,P3_8,P3_9,P3_10,P3_11,P4_1,P4_2,P4_3,P4_4,P4_5,P4_6,P4_7,P4_8,P4_9,P4_10,P5_1,P5_2,P5_3,P5_4,P5_5,P5_6,P5_7,P5_8,P5_9,P5_10,P5_11,P5_12,TIPO,FAC_MOD
1022,7,12A204,01,40005,3,1,0,01,10,10,10,10,10,10,10,10,10,10,10,9,0,5,8,8,10,10,5,1,1,0,0,10,9,9,10,8,8,7,10,10,10,7,5,1,39824
1022,7,12A204,01,40005,1,1,0,01,10,8,10,10,10,10,10,10,10,10,10,10,2,10,10,10,10,10,0,0,0,0,0,9,9,9,10,10,10,5,10,10,10,8,6,1,29868
1022,7,12A204,01,40005,4,1,0,01,8,8,8,8,10,8,10,10,8,10,10,8,3,5,8,7,10,10,5,1,2,0,0,8,8,8,10,7,10,0,10,10,10,8,6,1,19912
1022,7,12A204,01,40005,2,1,0,01,9,9,9,10,10,10,10,10,10,10,8,8,3,10,10,9,10,10,0,0,1,0,0,9,10,8,10,8,9,6,10,10,10,9,7,1,19912
1022,3,11A218,01,40029,2,1,0,04,8,8,8,8,10,10,9,10,8,9,6,8,0,10,9,9,9,10,0,1,1,1,0,8,8,7,8,7,8,5,10,8,8,7,5,1,31308
1022,3,11A218,01,40029,1,1,0,01,10,9,10,10,10,10,10,10,10,10,10,8,0,10,9,9,10,10,0,1,1,0,0,8,10,7,8,7,10,4,10,10,10,9,7,1,15654
1022,3,11A218,01,40029,3,1,0,01,8,8,8,10,10,10,10,10,8,10,7,8,0,10,9,9,9,10,0,1,1,1,0,8,8,8,10,8,10,0,10,8,8,8,7,1,23481
1022,3,11A218,01,40029,4,1,0,01,9,8,9,9,10,10,10,10,10,10,8,8,0,10,10,9,10,10,0,0,1,0,0,9,10,9,9,9,8,0,10,10,9,8,5,1,23481
1022,3,12A218,01,40095,1,1,0,01,9,8,8,10,10,10,10,10,10,10,10,8,4,10,10,7,9,10,0,0,2,1,0,8,8,8,10,8,10,7,10,10,10,9,5,1,7053
1022,3,12A218,01,40095,2,1,0,02,10,10,10,10,10,10,10,10,10,10,10,9,2,5,8,9,10,10,5,2,1,0,0,10,10,10,10,10,10,5,10,10,10,9,5,1,21159
