PER,N_ENT,FOL,ENT,CON,V_SEL,N_HOG,H_MUD,N_REN,P1,P2,P3_1,P3_2,P3_3,P3_4,P3_5,P3_6,P3_7,P3_8,P3_9,P3_10,P3_11,P4_1,P4_2,P4_3,P4_4,P4_5,P4_6,P4_7,P4_8,P4_9,P4_10,P5_1,P5_2,P5_3,P5_4,P5_5,P5_6,P5_7,P5_8,P5_9,P5_10,P5_11,P5_12,TIPO,FAC_MOD
1024,1,11A232,01,40091,1,1,0,01,10,10,10,10,10,10,9,10,10,10,10,10,8,9,8,7,6,5,0,1,2,4,5,9,9,10,10,10,7,3,8,9,9,7,3,1,15905
1024,1,11A232,01,40091,2,1,0,01,8,8,8,8,10,6,7,10,8,8,8,1,5,8,8,8,8,8,0,0,2,0,0,10,10,10,10,10,10,7,5,10,7,10,10,1,7952
1024,1,11A232,01,40091,3,1,0,02,7,5,8,5,10,10,7,10,10,10,6,7,10,6,3,3,5,6,4,7,6,0,4,6,8,9,9,8,3,1,7,9,8,9,7,1,15905
1024,1,11A232,01,40091,4,1,0,02,10,3,9,10,10,9,10,10,10,10,9,10,5,5,6,5,5,10,0,4,4,5,0,8,8,9,9,9,8,8,10,10,10,10,10,1,15905
1024,1,11A232,01,40095,2,1,0,03,10,9,10,10,10,10,10,10,10,10,10,10,10,5,5,5,10,6,0,5,5,0,3,8,5,5,5,8,5,5,9,5,8,10,8,1,29975
1024,1,11A232,01,40095,1,1,0,04,5,8,9,9,10,8,10,9,9,10,10,10,10,6,5,7,6,7,3,4,2,4,3,9,9,10,9,10,10,8,10,5,10,10,10,1,59949
1024,1,11A232,01,40095,3,1,0,01,10,10,10,10,10,10,9,10,10,10,9,10,3,10,10,9,9,9,0,0,1,1,1,10,10,10,10,10,8,8,10,8,7,10,10,1,9992
1024,1,11A232,01,40097,3,1,0,02,10,10,8,10,10,10,10,10,8,10,10,10,1,5,5,5,6,6,5,5,0,0,0,10,10,10,8,9,10,9,10,10,10,9,8,1,34257
1024,1,11A232,01,40097,4,1,0,01,8,10,8,7,10,10,10,10,10,10,10,10,10,5,8,5,8,10,2,0,5,0,0,8,7,7,9,8,9,10,8,9,6,10,10,1,8564
1024,1,11A232,01,40097,1,1,0,03,9,9,10,8,10,10,10,10,9,10,8,6,7,10,10,10,10,10,0,0,0,0,0,10,10,7,10,8,10,8,10,10,10,10,10,1,34257
1024,1,11A232,01,40108,4,1,0,02,9,6,9,10,7,10,10,10,10,9,7,8,2,6,7,5,5,5,4,2,4,5,4,7,7,7,7,10,6,6,7,7,9,10,5,1,25288
1024,1,11A232,01,40108,3,1,0,04,9,7,10,10,10,10,9,9,8,9,9,9,8,7,5,5,8,7,2,5,5,2,2,10,10,8,8,10,9,8,9,10,10,10,7,1,50575
1024,1,11A232,01,40108,2,1,0,01,10,10,9,8,10,10,10,10,10,8,7,10,3,10,3,6,8,8,0,2,3,1,1,10,5,10,5,2,8,5,9,10,9,10,7,1,8429
