PER,N_ENT,FOL,ENT,CON,V_SEL,N_HOG,H_MUD,N_REN,P1,P2,P3_1,P3_2,P3_3,P3_4,P3_5,P3_6,P3_7,P3_8,P3_9,P3_10,P3_11,P4_1,P4_2,P4_3,P4_4,P4_5,P4_6,P4_7,P4_8,P4_9,P4_10,P5_1,P5_2,P5_3,P5_4,P5_5,P5_6,P5_7,P5_8,P5_9,P5_10,P5_11,P5_12,TIPO,FAC_MOD
1023,7,12A218,11,40042,1,1,0,02,4,4,10,3,1,10,10,10,10,2,10,10,1,10,10,7,10,10,0,0,2,0,0,10,10,10,8,8,10,5,10,10,10,10,5,1,13414
1023,7,12A218,11,40042,4,1,0,01,10,9,10,9,10,10,10,10,10,10,10,9,0,10,10,10,10,9,0,0,0,0,0,8,9,10,10,9,10,6,9,9,8,9,8,1,20122
1023,7,12A218,11,40042,3,1,0,02,0,5,4,10,10,10,10,10,10,10,10,2,10,5,9,5,9,5,5,1,2,1,0,8,0,8,8,10,10,7,10,10,9,6,7,1,33536
1023,3,13A224,11,40126,2,1,0,01,10,8,10,9,10,9,9,9,9,8,6,9,2,7,8,10,9,8,2,1,0,0,0,8,10,8,7,9,9,6,9,10,10,10,9,1,23181
1023,3,13A224,11,40126,1,1,0,02,9,9,10,10,10,10,10,10,9,10,10,10,1,9,10,9,9,10,1,0,1,1,0,10,10,10,10,10,10,5,10,10,10,8,8,1,23181
1023,3,13A224,11,40126,4,1,0,01,9,7,10,10,10,8,10,10,10,10,9,10,3,10,9,9,10,9,0,1,1,0,0,9,9,9,8,9,7,6,9,9,9,8,8,1,15454
1023,7,13A218,11,40132,1,1,0,01,9,7,8,8,10,7,8,9,8,8,9,7,5,6,5,5,6,6,3,4,5,4,4,8,6,9,10,8,9,6,9,9,9,8,7,1,8831
1023,7,13A218,11,40132,4,1,0,01,8,8,8,7,10,8,8,9,8,8,9,7,6,5,6,4,5,5,4,4,6,5,4,9,7,9,9,8,9,5,8,9,9,7,5,1,8831
1023,7,13A218,11,40132,3,1,0,01,8,8,9,8,9,9,8,9,9,9,10,8,2,8,8,6,5,5,0,1,2,5,5,8,8,9,9,9,8,5,6,6,7,6,5,1,8831
1023,7,13A218,11,40132,2,1,0,01,7,8,7,8,9,8,8,8,8,8,9,8,2,8,6,5,8,7,2,3,4,0,3,8,8,8,8,9,8,7,9,8,8,8,8,1,8831
1023,7,11A218,11,40135,3,1,0,01,10,10,10,10,10,10,10,10,10,10,10,10,7,10,9,9,10,10,0,1,1,0,0,10,10,10,10,10,10,10,10,10,10,10,10,1,7690
1023,7,11A218,11,40135,1,1,0,02,10,10,10,10,10,10,10,10,10,10,10,10,0,9,9,9,10,10,0,0,1,0,0,10,10,10,10,10,10,0,10,10,10,5,7,1,23070
1023,7,11A218,11,40135,4,1,1,01,9,9,10,10,10,10,10,10,10,10,10,10,5,10,10,9,10,10,0,0,1,0,0,5,3,3,5,5,7,7,9,2,5,8,9,1,7690
1023,7,11A218,11,40135,2,1,0,01,10,10,10,10,10,10,10,10,10,10,7,10,0,9,8,10,10,10,1,2,0,0,0,10,10,10,10,10,10,5,10,10,5,10,10,1,7690
1023,2,12A225,11,40261,4,1,0,02,10,9,9,9,10,9,9,8,8,10,8,10,5,8,7,9,8,9,2,2,1,2,0,8,9,9,9,9,8,5,10,8,8,8,8,1,14852
