"PER","N_ENT","FOL","ENT","CON","V_SEL","N_HOG","H_MUD","N_REN","P1","P2","P3_1","P3_2","P3_3","P3_4","P3_5","P3_6","P3_7","P3_8","P3_9","P3_10","P3_11","P4_1","P4_2","P4_3","P4_4","P4_5","P4_6","P4_7","P4_8","P4_9","P4_10","P5_1","P5_2","P5_3","P5_4","P5_5","P5_6","P5_7","P5_8","P5_9","P5_10","P5_11","P5_12","TIPO","FAC_MOD"
"1021","6","12B191","01","40139","2","1","0","05",10,10,10,10,10,10,10,10,10,10,8,8,0,10,10,10,10,10,0,0,0,0,0,10,10,8,10,7,10,5,10,10,10,8,6,1,34520
"1021","6","12B191","01","40139","1","1","0","01",9,9,9,8,10,5,8,8,8,10,8,8,2,10,8,10,10,5,0,0,0,0,4,9,9,9,9,9,7,5,10,9,9,5,5,1,8630
"1021","2","12A205","01","40165","4","1","0","03",10,10,10,10,10,10,10,10,10,10,10,10,2,10,10,10,10,10,0,0,0,0,0,10,10,9,10,10,10,9,10,10,8,9,7,1,21132
"1021","2","12A205","01","40165","1","1","0","02",9,9,10,10,10,10,10,10,10,10,10,8,0,10,9,8,9,9,0,0,0,0,0,10,10,10,10,10,9,8,8,10,10,10,9,1,21132
"1021","2","12A205","01","40165","2","1","0","02",9,1,9,7,10,10,10,10,9,10,10,9,2,5,6,6,6,7,5,3,3,3,3,8,9,9,9,8,10,1,9,2,8,3,1,1,21132
"1021","2","12A205","01","40165","3","1","0","01",10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,0,0,0,0,0,10,10,10,10,10,10,5,10,10,10,10,5,1,7044
"1021","8","11A197","01","40198","4","1","0","01",8,8,10,10,10,10,10,10,8,10,7,8,3,10,10,10,10,10,0,0,0,0,0,8,8,8,8,8,8,5,10,8,8,8,6,1,20154
"1021","8","11A197","01","40198","3","1","0","01",8,9,10,10,10,10,10,10,10,10,6,7,0,10,10,10,10,10,0,0,0,0,0,9,9,8,10,10,10,0,10,10,10,7,6,1,20154
"1021","8","11A197","01","40198","2","1","0","01",8,8,8,8,10,8,10,10,10,10,10,7,3,5,8,7,10,8,5,2,2,0,0,8,8,8,10,7,7,5,10,10,10,9,7,1,10077
"1021","8","11A197","01","40198","1","1","0","02",10,10,10,10,10,10,10,10,10,10,10,9,3,10,10,10,10,10,0,0,0,0,0,9,10,10,10,9,10,7,10,10,10,8,6,1,20154
"1021","5","11B192","01","40265","1","1","0","01",8,8,8,10,10,10,9,10,9,10,7,10,3,5,8,9,9,9,5,1,1,1,1,8,6,10,9,10,9,8,9,10,10,8,6,1,6366
"1021","5","11B192","01","40265","3","1","0","01",9,9,10,10,10,10,10,10,10,10,7,8,0,10,8,9,10,10,0,1,1,0,0,10,10,8,10,10,7,6,10,10,10,8,7,1,12733
"1021","1","13A206","01","40294","4","1","0","01",10,10,10,10,10,10,10,10,10,10,5,10,2,10,10,10,10,10,0,0,0,0,0,10,10,10,10,10,10,7,10,10,10,8,8,1,22432
"1021","1","13A206","01","40294","3","1","0","01",8,9,8,10,10,10,10,10,10,10,8,9,0,10,10,10,10,10,0,0,0,0,0,10,8,10,10,9,10,7,10,10,8,10,8,1,33648
