CD,PER,MPIO,N_ENT,AGEB,UPM,AREA,FOL,ENT,CON,N_PRO_VIV,V_SEL,N_HOG,H_MUD,R_PRE,FCH_PRE,R_DEF,FCH_DEF,E_OBS,RFC_ENT,RFC_SUP,P1,P2,P3,P4,R_INF,R_ELE,TEL,R_HAB,R_NUE,R_AUS,DIASEM,HORA,R_PRE_MOD,R_DEF_MOD,TIPO,FACTOR
14,1023,001,7,380-6,0101841,14,11A218,01,40029,0032,2,1,0,00,02/10/2023,00,02/10/2023,2,-,-,07,1, , ,04,04,-,07,00,00,-, ,00,00,1,7768
14,1023,001,7,380-6,0101841,14,11A218,01,40029,0100,3,1,0,00,02/10/2023,00,02/10/2023,2,-,-,03,1, , ,01,01,-,03,00,00,-, ,00,00,1,7768
14,1023,001,7,380-6,0101841,14,11A218,01,40029,0088,4,1,0,00,02/10/2023,00,02/10/2023,2,-,-,04,1, , ,01,01,-,04,00,00,-, ,00,00,1,7768
14,1023,001,7,380-6,0101841,14,11A218,01,40029,0025,1,1,0,00,02/10/2023,00,02/10/2023,2,-,-,05,1, , ,01,01,-,05,00,00,-, ,00,00,1,7768
14,1023,001,7,216-A,0100724,14,12A218,01,40095,0060,2,1,0,00,11/10/2023,00,11/10/2023,2,-,-,03,1, , ,02,02,-,03,00,00,-, ,00,00,1,7363
14,1023,001,7,216-A,0100724,14,12A218,01,40095,0078,4,1,0,00,12/10/2023,00,12/10/2023,2,-,-,02,1, , ,01,01,-,02,00,00,-, ,00,00,1,7363
14,1023,001,7,216-A,0100724,14,12A218,01,40095,0086,3,1,0,00,11/10/2023,00,11/10/2023,2,-,-,03,1, , ,01,01,-,03,00,00,-, ,00,00,1,7363
14,1023,001,7,216-A,0100724,14,12A218,01,40095,0023,1,1,0,00,11/10/2023,00,11/10/2023,2,-,-,01, , , ,01,01,-,01,00,00,-, ,00,00,1,7363
14,1023,001,3,061-9,0100193,14,12A224,01,40152,0048,3,1,0,00,13/10/2023,00,13/10/2023,2,-,-,02,1, , ,01,01,-,02,00,00,-, ,00,00,1,6009
14,1023,001,3,061-9,0100193,14,12A224,01,40152,0027,2,1,0,00,13/10/2023,00,13/10/2023,2,-,-,03,1, , ,01,01,-,03,00,00,-, ,00,00,1,6009
14,1023,001,3,061-9,0100193,14,12A224,01,40152,0006,1,1,0,00,13/10/2023,00,13/10/2023,2,-,-,16,1, , ,04,04,-,16,00,00,-, ,00,00,1,6009
14,1023,001,3,061-9,0100193,14,12A224,01,40152,0072,4,1,0,00,13/10/2023,00,13/10/2023,2,-,-,07,1, , ,03,03,-,07,00,00,-, ,00,00,1,6009
14,1023,001,6,271-9,0101178,14,12B211,01,40188,0109,1,1,0,00,05/10/2023,00,05/10/2023,2,-,-,04,1, , ,01,01,-,04,00,00,-, ,00,00,1,6744
14,1023,001,6,271-9,0101178,14,12B211,01,40188,0048,2,1,0,00,05/10/2023,00,05/10/2023,2,-,-,04,1, , ,01,01,-,04,00,00,-, ,00,00,1,6744
14,1023,001,6,271-9,0101178,14,12B211,01,40188,0034,4,1,0,00,05/10/2023,00,05/10/2023,2,-,-,03,1, , ,02,02,-,03,00,00,-, ,00,00,1,6744
14,1023,001,6,271-9,0101178,14,12B211,01,40188,0080,3,1,0,00,05/10/2023,00,05/10/2023,2,-,-,04,1, , ,01,01,-,04,00,00,-, ,00,00,1,6744
14,1023,001,2,203-2,0100627,14,12A225,01,40280,0037,3,1,0,00,03/10/2023,00,03/10/2023,2,-,-,05,1, , ,02,02,-,05,00,00,-, ,00,00,1,8241
14,1023,001,2,203-2,0100627,14,12A225,01,40280,0103,1,1,0,00,03/10/2023,00,03/10/2023,2,-,-,04,1, , ,02,02,-,04,00,00,-, ,00,00,1,8241
14,1023,001,2,203-2,0100627,14,12A225,01,40280,0066,2,1,0,00,03/10/2023,00,03/10/2023,2,-,-,01, , , ,01,01,-,01,00,00,-, ,00,00,1,8241
14,1023,001,2,203-2,0100627,14,12A225,01,40280,0009,4,1,0,00,03/10/2023,00,03/10/2023,2,-,-,02,1, , ,01,01,-,02,00,00,-, ,00,00,1,8241
