"CD","PER","MPIO","N_ENT","AGEB","UPM","AREA","FOL","ENT","CON","N_PRO_VIV","V_SEL","N_HOG","H_MUD","R_PRE","FCH_PRE","R_DEF","FCH_DEF","E_OBS","RFC_ENT","RFC_SUP","P1","P2","P3","P4","R_INF","R_ELE","TEL","R_HAB","R_NUE","R_AUS","DIASEM","HORA","R_PRE_MOD","R_DEF_MOD","TIPO","FACTOR"
"14","1021","001","1","309-8","0101432","14","13A206","01","40294","0072","2","1","0","07","20/10/2021","07","21/10/2021","1","-","-",,,,,,,"-",,,,"-",,"07","07",1,0
"14","1021","001","5","371-7","0101770","14","12B192","01","40302","0037","2","1","0","00","06/10/2021","00","14/10/2021","1","-","-","05","1",,,"01","01","-","05","00","00","-",,"00","00",1,6803
"14","1021","001","5","371-7","0101770","14","12B192","01","40302","0095","4","1","0","00","18/10/2021","00","21/10/2021","1","-","-","03","1",,,"02","02","-","03","00","00","-",,"00","00",1,6803
"14","1021","001","5","371-7","0101770","14","12B192","01","40302","0013","1","1","0","00","07/10/2021","00","14/10/2021","1","-","-","03","1",,,"01","01","-","03","00","00","-",,"00","00",1,6803
"14","1021","001","5","371-7","0101770","14","12B192","01","40302","0073","3","1","0","00","18/10/2021","00","21/10/2021","1","-","-","05","1",,,"01","01","-","05","00","00","-",,"00","00",1,6803
"14","1021","001","1","359-6","0101717","14","11A206","01","40324","0080","1","1","0","00","07/10/2021","00","14/10/2021","1","-","-","05","1",,,"01","01","-","05","00","00","-",,"00","00",1,7241
"14","1021","001","1","359-6","0101717","14","11A206","01","40324","0108","2","1","0","00","08/10/2021","00","14/10/2021","1","-","-","03","1",,,"02","02","-","03","00","00","-",,"00","00",1,7241
"14","1021","001","1","359-6","0101717","14","11A206","01","40324","0016","4","1","0","00","07/10/2021","00","14/10/2021","1","-","-","02","1",,,"02","01","-","02","00","00","-",,"00","00",1,7241
"14","1021","001","1","359-6","0101717","14","11A206","01","40324","0065","3","1","0","00","05/10/2021","00","05/10/2021","1","-","-","04","1",,,"02","01","-","04","00","00","-",,"00","00",1,7241
"14","1021","001","7","246-0","0100927","14","13A198","01","40359","0099","3","1","0","00","14/10/2021","00","20/10/2021","1","-","-","01",,,,"01","01","-","01","00","00","-",,"00","00",1,7301
"14","1021","001","7","246-0","0100927","14","13A198","01","40359","0068","4","1","0","00","04/10/2021","00","05/10/2021","1","-","-","05","1",,,"01","01","-","05","00","00","-",,"00","00",1,7301
"14","1021","001","7","246-0","0100927","14","13A198","01","40359","0040","2","1","0","00","04/10/2021","00","05/10/2021","1","-","-","04","1",,,"03","03","-","04","00","00","-",,"00","00",1,7301
"14","1021","001","7","246-0","0100927","14","13A198","01","40359","0007","1","1","0","00","04/10/2021","00","05/10/2021","1","-","-","05","1",,,"03","03","-","05","00","00","-",,"00","00",1,7301
"14","1021","001","4","325-7","0101517","14","11A203","01","40387","0044","2","1","0","00","21/10/2021","00","21/10/2021","1","-","-","05","1",,,"01","03","-","05","00","00","-",,"00","00",1,7985
"14","1021","001","4","325-7","0101517","14","11A203","01","40387","0069","3","1","0","00","21/10/2021","00","21/10/2021","1","-","-","06","1",,,"01","01","-","06","00","00","-",,"00","00",1,7985
"14","1021","001","4","325-7","0101517","14","11A203","01","40387","0098","4","1","0","00","21/10/2021","00","21/10/2021","1","-","-","02","1",,,"02","02","-","02","00","00","-",,"00","00",1,7985
"14","1021","001","4","325-7","0101517","14","11A203","01","40387","0020","1","1","0","00","09/10/2021","00","14/10/2021","1","-","-","03","1",,,"01","01","-","03","00","00","-",,"00","00",1,7985
"14","1021","001","4","333-1","0101610","14","12A203","01","40419","0073","3","1","0","00","18/10/2021","00","21/10/2021","1","-","-","06","1",,,"01","01","-","06","00","00","-",,"00","00",1,8222
"14","1021","001","4","333-1","0101610","14","12A203","01","40419","0019","1","1","0","00","18/10/2021","00","21/10/2021","1","-","-","03","1",,,"02","02","-","03","00","00","-",,"00","00",1,8222
"14","1021","001","4","333-1","0101610","14","12A203","01","40419","0046","2","1","0","00","08/10/2021","00","14/10/2021","1","-","-","03","1",,,"01","01","-","03","00","00","-",,"00","00",1,8222
"14","1021","001","4","333-1","0101610","14","12A203","01","40419","0096","4","1","0","00","08/10/2021","00","14/10/2021","1","-","-","03","1",,,"02","02","-","03","00","00","-",,"00","00",1,8222
"21","1021","004","3","590-2","0206203","21","11A204","02","40034","0006","3","1","0","00","03/10/2021","00","11/10/2021","1","-","-","03","1",,,"02","02","-","03","00","00","-",,"00","00",1,7607
"21","1021","004","3","590-2","0206203","21","11A204","02","40034","0075","4","1","0","14","09/10/2021","14","20/10/2021","1","-","-","05","1",,,"01","02","-","05","00","00","-",,"14","14",1,0
"21","1021","004","3","590-2","0206203","21","11A204","02","40034","0036","2","1","0","00","06/10/2021","00","11/10/2021","1","-","-","03","1",,,"02","02","-","03","00","00","-",,"00","00",1,7607
"21","1021","004","3","590-2","0206203","21","11A204","02","40034","0106","1","1","0","00","06/10/2021","00","11/10/2021","1","-","-","05","1",,,"03","03","-","05","00","00","-",,"00","00",1,7607
"21","1021","004","3","042-2","0203274","21","13A204","02","40099","0129","3","1","0","00","05/10/2021","00","11/10/2021","1","-","-","03","1",,,"02","02","-","03","00","01","-",,"15","15",1,0
"21","1021","004","3","042-2","0203274","21","13A204","02","40099","0153","4","1","0","05","20/10/2021","05","20/10/2021","1","-","-",,,,,,,"-",,,,"-",,"05","05",1,0
"21","1021","004","3","042-2","0203274","21","13A204","02","40099","0001","1","1","0","07","13/10/2021","07","15/10/2021","1","-","-",,,,,,,"-",,,,"-",,"07","07",1,0
"21","1021","004","3","042-2","0203274","21","13A204","02","40099","0066","2","1","0","00","15/10/2021","00","19/10/2021","2","-","-","02","1",,,"01","01","-","02","00","00","-",,"00","00",1,18728
"21","1021","004","7","303-7","0204369","21","11A198","02","40107","0050","3","1","0","00","07/10/2021","00","11/10/2021","1","-","-","02","1",,,"02","02","-","02","00","00","-",,"00","00",1,6463
"21","1021","004","7","303-7","0204369","21","11A198","02","40107","0024","2","1","0","12","13/10/2021","12","15/10/2021","1","-","-",,,,,,,"-",,,,"-",,"12","12",1,0
"21","1021","004","7","303-7","0204369","21","11A198","02","40107","0110","4","1","0","06","15/10/2021","06","19/10/2021","1","-","-",,,,,,,"-",,,,"-",,"06","06",1,0
"21","1021","004","7","303-7","0204369","21","11A198","02","40107","0111","1","1","0","00","15/10/2021","00","19/10/2021","2","-","-","03","1",,,"01","01","-","03","00","00","-",,"00","00",1,6463
"21","1021","004","7","567-3","0206071","21","12A198","02","40141","0053","4","1","0","00","19/10/2021","00","20/10/2021","2","-","-","02","1",,,"01","01","-","02","00","00","-",,"00","00",1,5682
"21","1021","004","7","567-3","0206071","21","12A198","02","40141","0068","3","1","1","00","09/10/2021","00","11/10/2021","1","-","-","02","1",,,"01","01","-","02","00","00","-",,"00","00",1,5682
"21","1021","004","7","567-3","0206071","21","12A198","02","40141","0026","2","1","1","00","06/10/2021","00","11/10/2021","1","-","-","02","1",,,"01","01","-","02","00","00","-",,"00","00",1,5682
