N_ENT,ENT,N_REN,cb_P1,cb_P2,cb_P3_1,cb_P3_2,cb_P3_3,cb_P3_4,cb_P3_5,cb_P3_6,cb_P3_7,cb_P3_8,cb_P3_9,cb_P3_10,cb_P3_11,cb_P4_1,cb_P4_2,cb_P4_3,cb_P4_4,cb_P4_5,cb_P4_6,cb_P4_7,cb_P4_8,cb_P4_9,cb_P4_10,cb_P5_1,cb_P5_2,cb_P5_3,cb_P5_4,cb_P5_5,cb_P5_6,cb_P5_7,cb_P5_8,cb_P5_9,cb_P5_10,cb_P5_11,cb_P5_12,cs_SEX,cs_EDA,cs_ALF,cs_I_NIV,cs_E_CON,cs_C_ACT,cs_OCU,cs_A_ECO,cs_POS,cs_ING,viv_FCH_PRE,viv_FCH_DEF,viv_P1,viv_P2,viv_P3,viv_P4,ANIO
3,Aguascalientes,1,7,8,8,10,10,8,10,10,8,10,10,10,4,10,7,8,8,10,0,3,1,0,0,8,8,8,10,7,8,5,10,10,10,8,6,Mujer,51,Sabe leer y escribir,Maestría,Soltero(a),Espera respuesta a una solicitud de trabajo,No trabaja,No trabaja,No trabaja,,2021-10-06,2021-10-14,2,Sí,1,2,2021
3,Aguascalientes,1,10,10,10,10,10,10,10,10,10,10,8,10,2,10,10,9,10,10,0,0,1,0,0,10,10,10,10,9,7,0,10,10,10,7,6,Mujer,28,Sabe leer y escribir,Profesional,Soltero(a),Trabajó por lo menos una hora para obtener ingresos,Profesionistas y técnicos,Industria,"Trabajador(a) a sueldo fijo, salario o jornal",9000.0,2021-10-06,2021-10-14,2,Sí,1,2,2021
3,Aguascalientes,1,10,8,9,10,10,10,10,10,10,10,10,9,0,10,9,8,10,10,0,1,1,0,0,8,10,9,10,9,8,5,10,10,10,8,7,Hombre,56,Sabe leer y escribir,Preparatoria o bachillerato,Casado(a),Trabajó por lo menos una hora para obtener ingresos,"Comerciantes, vendedores y similares",Comercio,Trabajador(a) por su cuenta,1000.0,2021-10-06,2021-10-14,3,Sí,1,3,2021
3,Aguascalientes,1,9,9,10,10,10,10,10,10,10,10,8,10,0,10,10,10,10,10,0,0,0,0,0,10,10,9,10,9,10,5,10,10,10,9,7,Hombre,54,Sabe leer y escribir,Profesional,Casado(a),Trabajó por lo menos una hora para obtener ingresos,Profesionistas y técnicos,Servicios,"Trabajador(a) a sueldo fijo, salario o jornal",6500.0,2021-10-06,2021-10-20,4,Sí,1,4,2021
7,Aguascalientes,3,10,10,10,10,10,9,10,10,9,10,10,8,3,10,10,10,10,10,0,0,0,0,0,9,10,8,10,8,8,6,10,10,10,7,6,Mujer,19,Sabe leer y escribir,Preparatoria o bachillerato,Soltero(a),Trabajó por lo menos una hora para obtener ingresos,"Comerciantes, vendedores y similares",Comercio,"Trabajador(a) a sueldo fijo, salario o jornal",800.0,2021-10-01,2021-10-05,5,Sí,1,5,2021
7,Aguascalientes,3,10,10,10,10,10,10,10,10,8,10,6,8,2,10,9,8,10,10,0,1,2,0,0,8,9,7,8,8,7,0,10,10,10,8,6,Hombre,22,Sabe leer y escribir,Secundaria,Soltero(a),Trabajó por lo menos una hora para obtener ingresos,Trabajadores en servicios personales y conductores de vehículos,Servicios,"Trabajador(a) a sueldo fijo, salario o jornal",1200.0,2021-10-01,2021-10-05,3,Sí,1,3,2021
7,Aguascalientes,2,10,10,10,10,10,10,10,10,10,10,10,10,4,10,10,10,10,10,0,0,0,0,0,9,9,8,10,8,10,5,10,8,8,9,7,Mujer,21,Sabe leer y escribir,Secundaria,Unión libre,Se dedica a los quehaceres del hogar,No trabaja,No trabaja,No trabaja,,2021-10-01,2021-10-05,5,Sí,1,5,2021
7,Aguascalientes,4,8,8,8,10,10,10,8,10,10,10,6,7,3,10,7,7,10,10,0,2,2,0,0,8,10,8,10,7,10,6,10,10,8,8,7,Hombre,24,Sabe leer y escribir,Preparatoria o bachillerato,Soltero(a),Buscó trabajo,No trabaja,No trabaja,No trabaja,,2021-10-01,2021-10-05,4,Sí,1,4,2021
6,Aguascalientes,1,9,8,10,10,10,10,10,10,10,10,8,9,2,10,10,7,10,10,0,0,2,0,0,8,8,8,10,8,10,3,10,10,8,8,7,Hombre,56,Sabe leer y escribir,Profesional,Casado(a),Trabajó por lo menos una hora para obtener ingresos,"Comerciantes, vendedores y similares",Comercio,Trabajador(a) por su cuenta,1200.0,2021-10-15,2021-10-20,1,No aplica,1,1,2021
6,Aguascalientes,2,8,8,8,8,10,8,10,10,10,10,10,8,3,5,8,7,10,8,5,1,2,0,0,8,8,8,10,7,10,5,10,10,8,8,6,Mujer,59,Sabe leer y escribir,Primaria,Casado(a),Se dedica a los quehaceres del hogar,No trabaja,No trabaja,No trabaja,,2021-10-15,2021-10-20,6,Sí,1,6,2021
6,Aguascalientes,5,10,10,10,10,10,10,10,10,10,10,8,8,0,10,10,10,10,10,0,0,0,0,0,10,10,8,10,7,10,5,10,10,10,8,6,Hombre,21,Sabe leer y escribir,Profesional,Soltero(a),Estudiante,No trabaja,No trabaja,No trabaja,,2021-10-15,2021-10-20,4,Sí,1,4,2021
6,Aguascalientes,1,9,9,9,8,10,5,8,8,8,10,8,8,2,10,8,10,10,5,0,0,0,0,4,9,9,9,9,9,7,5,10,9,9,5,5,Mujer,46,Sabe leer y escribir,Preparatoria o bachillerato,Casado(a),Trabajó por lo menos una hora para obtener ingresos,"Comerciantes, vendedores y similares",Comercio,Trabajador(a) por su cuenta,900.0,2021-10-08,2021-10-14,3,Sí,1,3,2021
2,Aguascalientes,3,10,10,10,10,10,10,10,10,10,10,10,10,2,10,10,10,10,10,0,0,0,0,0,10,10,9,10,10,10,9,10,10,8,9,7,Hombre,21,Sabe leer y escribir,Preparatoria o bachillerato,Soltero(a),Trabajó por lo menos una hora para obtener ingresos,Trabajadores en servicios personales y conductores de vehículos,Comercio,"Trabajador(a) a sueldo fijo, salario o jornal",3400.0,2021-10-07,2021-10-14,3,Sí,1,3,2021
2,Aguascalientes,2,9,9,10,10,10,10,10,10,10,10,10,8,0,10,9,8,9,9,0,0,0,0,0,10,10,10,10,10,9,8,8,10,10,10,9,Mujer,26,Sabe leer y escribir,Profesional,Soltero(a),Trabajó por lo menos una hora para obtener ingresos,Profesionistas y técnicos,Industria,"Trabajador(a) a sueldo fijo, salario o jornal",3200.0,2021-10-07,2021-10-14,3,Sí,1,3,2021
2,Aguascalientes,2,9,1,9,7,10,10,10,10,9,10,10,9,2,5,6,6,6,7,5,3,3,3,3,8,9,9,9,8,10,1,9,2,8,3,1,Mujer,39,Sabe leer y escribir,Secundaria,Unión libre,Se dedica a los quehaceres del hogar,No trabaja,No trabaja,No trabaja,,2021-10-07,2021-10-14,3,Sí,1,3,2021
2,Aguascalientes,1,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,0,0,0,0,0,10,10,10,10,10,10,5,10,10,10,10,5,Mujer,41,Sabe leer y escribir,Primaria,Soltero(a),Trabajó por lo menos una hora para obtener ingresos,Trabajadores industriales,Industria,"Trabajador(a) a sueldo fijo, salario o jornal",1100.0,2021-10-07,2021-10-14,4,Sí,1,4,2021
8,Aguascalientes,1,8,8,10,10,10,10,10,10,8,10,7,8,3,10,10,10,10,10,0,0,0,0,0,8,8,8,8,8,8,5,10,8,8,8,6,Mujer,34,Sabe leer y escribir,Secundaria,Soltero(a),Trabajó por lo menos una hora para obtener ingresos,Trabajadores industriales,Industria,"Trabajador(a) a sueldo fijo, salario o jornal",1500.0,2021-10-11,2021-10-14,4,Sí,1,4,2021
8,Aguascalientes,1,8,9,10,10,10,10,10,10,10,10,6,7,0,10,10,10,10,10,0,0,0,0,0,9,9,8,10,10,10,0,10,10,10,7,6,Hombre,51,Sabe leer y escribir,Primaria,Unión libre,Trabajó por lo menos una hora para obtener ingresos,Trabajadores industriales,Construcción,"Trabajador(a) a sueldo fijo, salario o jornal",1500.0,2021-10-04,2021-10-14,2,Sí,1,2,2021
8,Aguascalientes,1,8,8,8,8,10,8,10,10,10,10,10,7,3,5,8,7,10,8,5,2,2,0,0,8,8,8,10,7,7,5,10,10,10,9,7,Mujer,35,Sabe leer y escribir,Secundaria,Divorciado(a),Trabajó por lo menos una hora para obtener ingresos,Trabajadores industriales,Industria,"Trabajador(a) a sueldo fijo, salario o jornal",1400.0,2021-10-04,2021-10-05,3,Sí,1,3,2021
8,Aguascalientes,2,10,10,10,10,10,10,10,10,10,10,10,9,3,10,10,10,10,10,0,0,0,0,0,9,10,10,10,9,10,7,10,10,10,8,6,Mujer,18,Sabe leer y escribir,Secundaria,Unión libre,Se dedica a los quehaceres del hogar,No trabaja,No trabaja,No trabaja,,2021-10-04,2021-10-05,2,Sí,1,2,2021
5,Aguascalientes,1,8,8,8,10,10,10,9,10,9,10,7,10,3,5,8,9,9,9,5,1,1,1,1,8,6,10,9,10,9,8,9,10,10,8,6,Mujer,74,Sabe leer y escribir,Primaria,Viudo(a),Se dedica a los quehaceres del hogar,No trabaja,No trabaja,No trabaja,,2021-10-07,2021-10-21,2,Sí,1,2,2021
5,Aguascalientes,1,9,9,10,10,10,10,10,10,10,10,7,8,0,10,8,9,10,10,0,1,1,0,0,10,10,8,10,10,7,6,10,10,10,8,7,Hombre,38,Sabe leer y escribir,Primaria,Unión libre,Trabajó por lo menos una hora para obtener ingresos,Trabajadores industriales,Industria,"Trabajador(a) a sueldo fijo, salario o jornal",1600.0,2021-10-19,2021-10-21,6,Sí,1,6,2021
1,Aguascalientes,1,10,10,10,10,10,10,10,10,10,10,5,10,2,10,10,10,10,10,0,0,0,0,0,10,10,10,10,10,10,7,10,10,10,8,8,Hombre,46,Sabe leer y escribir,Doctorado,Unión libre,Trabajó por lo menos una hora para obtener ingresos,Profesionistas y técnicos,Servicios,Trabajador(a) por su cuenta,22000.0,2021-10-11,2021-10-14,2,Sí,1,2,2021
1,Aguascalientes,1,8,9,8,10,10,10,10,10,10,10,8,9,0,10,10,10,10,10,0,0,0,0,0,10,8,10,10,9,10,7,10,10,8,10,8,Hombre,42,Sabe leer y escribir,Preparatoria o bachillerato,Unión libre,Buscó trabajo,No trabaja,No trabaja,No trabaja,,2021-10-11,2021-10-14,5,Sí,1,5,2021
5,Aguascalientes,1,8,7,8,10,10,10,10,10,10,10,7,8,0,10,8,8,10,10,0,1,1,0,0,8,8,7,10,7,8,0,10,8,8,8,7,Hombre,33,No sabe leer y escribir,Primaria,Unión libre,Trabajó por lo menos una hora para obtener ingresos,Trabajadores en servicios personales y conductores de vehículos,Comercio,"Trabajador(a) a sueldo fijo, salario o jornal",1600.0,2021-10-18,2021-10-21,5,Sí,1,5,2021
5,Aguascalientes,2,8,7,10,10,10,10,10,10,10,10,10,9,4,5,7,7,8,8,5,2,2,1,0,8,8,8,8,7,10,3,10,7,7,7,6,Mujer,57,Sabe leer y escribir,Primaria,Unión libre,Se dedica a los quehaceres del hogar,No trabaja,No trabaja,No trabaja,,2021-10-18,2021-10-21,3,Sí,1,3,2021
5,Aguascalientes,1,5,5,7,10,10,7,10,10,7,10,7,7,5,5,5,6,8,7,5,5,4,1,0,7,5,8,5,8,10,0,10,10,0,3,3,Mujer,42,Sabe leer y escribir,Secundaria,Separado(a),Trabajó por lo menos una hora para obtener ingresos,Trabajadores industriales,Industria,"Trabajador(a) a sueldo fijo, salario o jornal",1200.0,2021-10-07,2021-10-14,3,Sí,1,3,2021
5,Aguascalientes,1,10,10,10,10,10,10,10,10,8,10,10,8,0,10,10,8,10,10,0,0,1,0,0,10,10,7,10,9,10,5,9,10,8,8,7,Hombre,27,Sabe leer y escribir,Secundaria,Unión libre,Trabajó por lo menos una hora para obtener ingresos,Trabajadores industriales,Construcción,"Trabajador(a) a sueldo fijo, salario o jornal",1500.0,2021-10-06,2021-10-14,5,Sí,1,5,2021
1,Aguascalientes,1,9,9,10,10,10,10,10,10,10,10,8,9,0,10,10,10,10,10,0,0,0,0,0,9,9,9,9,8,8,5,10,10,10,8,6,Hombre,41,Sabe leer y escribir,Preparatoria o bachillerato,Casado(a),Trabajó por lo menos una hora para obtener ingresos,Trabajadores en servicios personales y conductores de vehículos,Comercio,"Trabajador(a) a sueldo fijo, salario o jornal",5000.0,2021-10-05,2021-10-05,4,Sí,1,4,2021
1,Aguascalientes,1,10,10,10,10,10,10,10,10,10,10,7,10,0,10,10,10,10,10,0,0,0,0,0,10,10,10,10,10,8,5,10,10,10,9,7,Hombre,27,Sabe leer y escribir,Profesional,Soltero(a),Trabajó por lo menos una hora para obtener ingresos,Profesionistas y técnicos,Industria,"Trabajador(a) a sueldo fijo, salario o jornal",5000.0,2021-10-07,2021-10-14,2,Sí,1,2,2021
1,Aguascalientes,2,9,5,10,10,10,10,10,9,9,9,9,9,0,8,8,9,9,9,2,0,0,0,0,10,10,10,10,9,10,5,10,9,9,8,7,Mujer,64,Sabe leer y escribir,Primaria,Casado(a),Se dedica a los quehaceres del hogar,No trabaja,No trabaja,No trabaja,,2021-10-08,2021-10-14,3,Sí,1,3,2021
1,Aguascalientes,1,10,7,10,10,10,10,10,10,10,10,10,10,3,10,10,8,10,10,0,0,1,0,0,10,10,10,10,10,10,5,10,10,10,10,5,Mujer,60,Sabe leer y escribir,Primaria,Soltero(a),Trabajó por lo menos una hora para obtener ingresos,"Comerciantes, vendedores y similares",Comercio,"Trabajador(a) a sueldo fijo, salario o jornal",1500.0,2021-10-07,2021-10-14,5,Sí,1,5,2021
7,Aguascalientes,3,10,10,10,10,10,10,10,10,10,10,10,9,3,10,10,10,10,10,0,0,0,0,0,10,10,9,10,10,10,5,10,10,10,8,7,Mujer,39,Sabe leer y escribir,Carrera técnica,Separado(a),Se dedica a los quehaceres del hogar,No trabaja,No trabaja,No trabaja,,2021-10-04,2021-10-05,4,Sí,1,4,2021
7,Aguascalientes,3,10,9,10,10,10,10,10,10,10,10,10,9,2,10,10,10,10,10,0,0,0,0,0,10,10,8,10,9,10,6,10,10,10,8,7,Mujer,29,Sabe leer y escribir,Preparatoria o bachillerato,Casado(a),Se dedica a los quehaceres del hogar,No trabaja,No trabaja,No trabaja,,2021-10-04,2021-10-05,5,Sí,1,5,2021
7,Aguascalientes,1,8,7,10,10,10,10,10,10,10,10,10,9,3,10,10,10,10,10,0,0,0,0,0,10,8,8,10,8,10,5,10,10,10,9,7,Mujer,62,Sabe leer y escribir,Carrera técnica,Soltero(a),Se dedica a los quehaceres del hogar,No trabaja,No trabaja,No trabaja,,2021-10-04,2021-10-05,5,Sí,1,5,2021
7,Aguascalientes,1,10,9,10,10,10,10,10,10,10,10,7,10,0,10,10,8,10,10,0,0,1,0,0,8,10,8,10,8,8,5,10,10,10,7,6,Mujer,38,Sabe leer y escribir,Preparatoria o bachillerato,Soltero(a),Trabajó por lo menos una hora para obtener ingresos,Trabajadores en servicios personales y conductores de vehículos,Servicios,"Trabajador(a) a sueldo fijo, salario o jornal",2000.0,2021-10-14,2021-10-20,1,No aplica,1,1,2021
4,Aguascalientes,2,8,8,8,8,8,9,8,7,8,8,9,10,4,9,9,9,10,10,0,0,0,0,0,10,9,9,8,8,8,5,8,10,10,8,8,Hombre,46,Sabe leer y escribir,Primaria,Soltero(a),Trabajó por lo menos una hora para obtener ingresos,Trabajadores industriales,Construcción,"Trabajador(a) a sueldo fijo, salario o jornal",1000.0,2021-10-21,2021-10-21,2,Sí,1,2,2021
4,Aguascalientes,1,8,8,10,8,10,10,10,10,10,10,10,8,3,9,10,7,6,8,0,0,3,3,0,8,8,8,9,8,10,8,10,10,10,10,8,Hombre,62,Sabe leer y escribir,Primaria,Unión libre,Buscó trabajo,No trabaja,No trabaja,No trabaja,,2021-10-21,2021-10-21,6,Sí,1,6,2021
4,Aguascalientes,1,10,8,10,10,10,10,9,10,10,10,8,8,0,9,9,8,10,9,1,0,1,0,0,10,10,10,8,8,10,5,10,8,8,8,8,Mujer,41,Sabe leer y escribir,Profesional,Separado(a),Trabajó por lo menos una hora para obtener ingresos,Trabajadores industriales,Industria,"Trabajador(a) a sueldo fijo, salario o jornal",1200.0,2021-10-09,2021-10-14,3,Sí,1,3,2021
4,Aguascalientes,3,10,10,10,10,10,10,9,10,8,9,10,10,0,10,10,9,10,10,0,0,0,0,0,10,10,10,10,10,10,5,10,10,10,7,6,Hombre,25,Sabe leer y escribir,Preparatoria o bachillerato,Soltero(a),Trabajó por lo menos una hora para obtener ingresos,Trabajadores industriales,Industria,"Trabajador(a) a sueldo fijo, salario o jornal",1200.0,2021-10-21,2021-10-21,5,Sí,1,5,2021
4,Aguascalientes,1,8,8,10,10,10,9,8,10,8,10,10,10,0,8,8,8,9,9,2,0,0,0,0,10,10,9,9,10,8,5,10,10,10,9,8,Hombre,28,Sabe leer y escribir,Profesional,Casado(a),Trabajó por lo menos una hora para obtener ingresos,Profesionistas y técnicos,Industria,"Trabajador(a) a sueldo fijo, salario o jornal",5500.0,2021-10-08,2021-10-14,3,Sí,1,3,2021
4,Aguascalientes,2,8,8,8,8,10,10,10,10,8,10,8,10,3,10,10,9,10,10,0,0,1,0,0,8,8,8,10,9,10,5,10,10,10,8,6,Mujer,52,Sabe leer y escribir,Carrera técnica,Casado(a),Se dedica a los quehaceres del hogar,No trabaja,No trabaja,No trabaja,,2021-10-18,2021-10-21,3,Sí,1,3,2021
4,Aguascalientes,1,10,10,10,10,10,10,10,10,10,10,7,9,0,10,8,8,10,10,0,1,1,0,0,10,9,9,10,9,7,5,10,10,10,8,6,Hombre,46,Sabe leer y escribir,Profesional,Unión libre,Trabajó por lo menos una hora para obtener ingresos,Trabajadores en servicios personales y conductores de vehículos,Servicios,"Trabajador(a) a sueldo fijo, salario o jornal",2200.0,2021-10-18,2021-10-21,6,Sí,1,6,2021
4,Aguascalientes,2,7,7,10,10,7,8,8,8,8,8,8,8,3,5,5,5,5,5,5,5,3,3,3,10,8,8,8,8,8,5,10,8,8,8,8,Mujer,47,No sabe leer y escribir,Ninguno,Casado(a),Se dedica a los quehaceres del hogar,No trabaja,No trabaja,No trabaja,,2021-10-08,2021-10-14,3,Sí,1,3,2021
3,Baja California,2,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,0,0,0,0,0,10,10,10,10,10,8,5,10,10,0,10,5,Hombre,41,Sabe leer y escribir,Secundaria,Soltero(a),Trabajó por lo menos una hora para obtener ingresos,Trabajadores en servicios personales y conductores de vehículos,Servicios,"Trabajador(a) a sueldo fijo, salario o jornal",2000.0,2021-10-03,2021-10-11,3,Sí,1,3,2021
3,Baja California,3,10,9,9,9,10,8,10,10,10,10,8,10,2,8,10,10,9,9,1,0,0,0,0,10,10,8,10,8,9,9,10,10,9,8,8,Mujer,24,Sabe leer y escribir,Preparatoria o bachillerato,Unión libre,Trabajó por lo menos una hora para obtener ingresos,"Comerciantes, vendedores y similares",Comercio,Trabajador(a) por su cuenta,2500.0,2021-10-06,2021-10-11,5,Sí,1,5,2021
3,Baja California,2,8,8,9,9,10,5,9,9,8,9,6,9,4,7,7,8,10,9,2,2,0,0,0,9,9,9,9,9,9,7,9,10,7,7,7,Mujer,27,Sabe leer y escribir,Preparatoria o bachillerato,Casado(a),Se dedica a los quehaceres del hogar,No trabaja,No trabaja,No trabaja,,2021-10-06,2021-10-11,3,Sí,1,3,2021
3,Baja California,1,10,10,10,10,10,10,10,10,10,10,10,10,2,10,10,10,10,10,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,9,Hombre,73,Sabe leer y escribir,Profesional,Casado(a),Trabajó por lo menos una hora para obtener ingresos,Profesionistas y técnicos,Servicios,Trabajador(a) por su cuenta,,2021-10-15,2021-10-19,2,Sí,1,2,2021
7,Baja California,1,8,8,10,10,8,10,10,10,10,10,5,10,0,8,8,8,4,5,0,2,1,5,4,10,5,10,10,10,10,4,10,10,10,7,7,Mujer,64,Sabe leer y escribir,Carrera técnica,Separado(a),Trabajó por lo menos una hora para obtener ingresos,Trabajadores en servicios personales y conductores de vehículos,Servicios,Trabajador(a) por su cuenta,,2021-10-15,2021-10-19,3,Sí,1,3,2021
7,Baja California,2,10,10,10,10,10,9,10,10,10,10,10,10,9,10,9,9,9,9,0,0,0,0,1,10,10,10,9,9,9,6,9,10,9,9,6,Mujer,76,No sabe leer y escribir,Profesional,Soltero(a),Jubilado(a) o pensionado(a),No trabaja,No trabaja,No trabaja,,2021-10-07,2021-10-11,2,Sí,1,2,2021
7,Baja California,1,8,4,8,8,9,8,8,8,7,9,9,9,6,5,7,8,8,5,3,2,2,1,2,6,9,9,8,8,3,9,8,6,7,7,8,Hombre,46,Sabe leer y escribir,Preparatoria o bachillerato,Separado(a),Trabajó por lo menos una hora para obtener ingresos,Trabajadores en servicios personales y conductores de vehículos,Comercio,"Trabajador(a) a sueldo fijo, salario o jornal",2500.0,2021-10-06,2021-10-11,2,Sí,1,2,2021
7,Baja California,1,10,5,9,10,10,9,9,10,8,8,10,8,2,10,8,10,9,7,0,1,0,0,0,10,8,8,9,10,7,5,8,8,7,6,8,Mujer,21,Sabe leer y escribir,Primaria,Unión libre,Trabajó por lo menos una hora para obtener ingresos,Trabajadores industriales,Industria,"Trabajador(a) a sueldo fijo, salario o jornal",1600.0,2021-10-09,2021-10-11,2,Sí,1,2,2021
7,Baja California,1,8,8,9,10,10,9,10,8,8,10,7,10,4,10,10,8,10,9,0,0,1,0,0,8,8,10,10,10,8,5,10,8,9,9,7,Hombre,60,Sabe leer y escribir,Preparatoria o bachillerato,Separado(a),"No trabajó, pero sí tiene trabajo","Comerciantes, vendedores y similares",Comercio,Trabajador(a) por su cuenta,,2021-10-19,2021-10-20,2,Sí,1,2,2021
8,Baja California,1,8,6,8,7,10,10,7,7,10,7,5,9,8,7,10,10,5,8,3,0,0,4,0,6,9,7,7,8,9,7,10,6,8,10,10,Hombre,33,Sabe leer y escribir,Secundaria,Soltero(a),Trabajó por lo menos una hora para obtener ingresos,Trabajadores en servicios personales y conductores de vehículos,Servicios,"Trabajador(a) a sueldo fijo, salario o jornal",1800.0,2021-10-04,2021-10-11,1,No aplica,1,1,2021
8,Baja California,1,3,3,5,5,8,8,8,5,8,8,5,5,8,9,9,7,7,9,1,1,3,2,1,5,5,8,2,5,5,5,10,8,5,10,10,Hombre,52,Sabe leer y escribir,Secundaria,Casado(a),Otra situación,No trabaja,No trabaja,No trabaja,,2021-10-04,2021-10-11,5,Sí,1,5,2021
8,Baja California,1,8,5,8,8,10,10,9,10,9,10,10,10,2,10,10,7,9,10,0,0,2,0,0,8,5,8,8,10,8,7,8,10,10,10,8,Mujer,64,Sabe leer y escribir,Secundaria,Viudo(a),Se dedica a los quehaceres del hogar,No trabaja,No trabaja,No trabaja,,2021-10-04,2021-10-11,3,Sí,1,3,2021
6,Baja California,3,10,10,10,9,10,9,10,10,10,10,7,8,2,10,6,10,8,9,0,4,0,0,0,10,10,10,8,8,10,7,10,10,10,8,9,Mujer,20,Sabe leer y escribir,Profesional,Soltero(a),Estudiante,No trabaja,No trabaja,No trabaja,,2021-10-07,2021-10-13,5,Sí,1,5,2021
6,Baja California,2,8,5,4,7,8,7,9,9,9,9,10,10,8,5,7,5,10,7,3,3,0,0,3,7,3,7,9,7,5,1,6,8,9,3,3,Mujer,53,Sabe leer y escribir,Primaria,Casado(a),Se dedica a los quehaceres del hogar,No trabaja,No trabaja,No trabaja,,2021-10-20,2021-10-20,2,Sí,1,2,2021
2,Baja California,1,10,10,10,10,10,10,10,10,10,10,9,9,0,10,9,10,10,10,0,0,0,0,0,10,10,10,9,10,10,9,10,9,10,9,10,Hombre,43,Sabe leer y escribir,Profesional,Casado(a),Trabajó por lo menos una hora para obtener ingresos,"Comerciantes, vendedores y similares",Comercio,Trabajador(a) por su cuenta,,2021-10-13,2021-10-19,2,Sí,1,2,2021
2,Baja California,1,10,10,10,10,10,8,8,8,8,8,0,5,2,10,10,10,8,8,0,0,0,0,0,10,10,10,10,9,10,8,8,8,8,5,8,Hombre,62,Sabe leer y escribir,Primaria,Separado(a),Jubilado(a) o pensionado(a),No trabaja,No trabaja,No trabaja,,2021-10-04,2021-10-11,1,No aplica,1,1,2021
2,Baja California,1,8,8,8,8,9,8,8,8,9,10,10,9,2,10,10,10,10,10,0,0,0,0,0,9,9,10,10,9,10,5,10,10,10,8,8,Mujer,84,Sabe leer y escribir,Primaria,Viudo(a),Se dedica a los quehaceres del hogar,No trabaja,No trabaja,No trabaja,,2021-10-04,2021-10-11,3,Sí,1,3,2021
2,Baja California,2,5,5,7,5,10,7,7,10,10,0,8,3,8,7,7,4,10,8,2,2,6,0,0,8,0,10,5,10,10,0,8,5,10,5,8,Mujer,56,Sabe leer y escribir,Secundaria,Casado(a),Se dedica a los quehaceres del hogar,No trabaja,No trabaja,No trabaja,,2021-10-04,2021-10-11,3,Sí,1,3,2021
2,Baja California,2,8,8,9,9,10,10,10,9,9,8,10,10,8,9,8,5,9,8,0,0,5,0,0,10,9,9,8,9,7,6,10,10,10,9,9,Mujer,50,Sabe leer y escribir,Profesional,Casado(a),Trabajó por lo menos una hora para obtener ingresos,Profesionistas y técnicos,Servicios,"Trabajador(a) a sueldo fijo, salario o jornal",6000.0,2021-10-06,2021-10-13,5,Sí,1,5,2021
6,Baja California,2,10,10,10,10,10,7,10,10,10,10,10,10,7,10,10,0,10,8,0,0,8,0,0,10,8,10,10,9,9,0,8,10,10,9,7,Mujer,46,No sabe leer y escribir,Profesional,Casado(a),Se dedica a los quehaceres del hogar,No trabaja,No trabaja,No trabaja,,2021-10-05,2021-10-11,3,Sí,1,3,2021
6,Baja California,2,7,7,10,8,10,10,10,8,10,8,6,6,5,7,7,5,4,5,2,2,5,6,5,8,8,8,8,8,7,3,8,8,5,7,5,Mujer,25,Sabe leer y escribir,Preparatoria o bachillerato,Unión libre,Trabajó por lo menos una hora para obtener ingresos,Trabajadores industriales,Industria,"Trabajador(a) a sueldo fijo, salario o jornal",2000.0,2021-10-03,2021-10-11,5,Sí,1,5,2021
6,Baja California,1,10,8,8,10,10,10,9,9,9,8,5,10,5,7,8,8,9,8,3,0,0,0,0,10,10,10,10,10,5,5,8,8,8,8,5,Hombre,41,Sabe leer y escribir,Secundaria,Casado(a),Trabajó por lo menos una hora para obtener ingresos,Trabajadores en servicios personales y conductores de vehículos,Comunicaciones y transportes,"Trabajador(a) a sueldo fijo, salario o jornal",,2021-10-03,2021-10-11,5,Sí,1,5,2021
5,Baja California,2,5,9,8,10,10,10,10,10,10,10,10,10,0,5,10,7,7,10,0,0,2,2,0,6,10,10,10,10,10,0,10,10,10,0,3,Mujer,36,Sabe leer y escribir,Secundaria,Casado(a),Trabajó por lo menos una hora para obtener ingresos,Trabajadores industriales,Industria,"Trabajador(a) a sueldo fijo, salario o jornal",2000.0,2021-10-09,2021-10-13,5,Sí,1,5,2021
5,Baja California,1,8,8,10,10,9,10,10,10,10,10,10,8,2,10,8,10,9,10,0,1,0,0,0,8,10,8,10,10,7,4,10,8,8,6,8,Hombre,35,Sabe leer y escribir,Profesional,Soltero(a),Trabajó por lo menos una hora para obtener ingresos,Personal administrativo,Industria,"Trabajador(a) a sueldo fijo, salario o jornal",,2021-10-09,2021-10-13,1,No aplica,1,1,2021
5,Baja California,2,10,10,10,10,10,10,10,10,10,10,5,10,0,7,10,8,10,10,2,0,0,0,0,10,10,8,10,10,10,3,10,10,9,10,10,Mujer,25,Sabe leer y escribir,Preparatoria o bachillerato,Unión libre,Trabajó por lo menos una hora para obtener ingresos,Trabajadores en servicios personales y conductores de vehículos,Servicios,Trabajador(a) por su cuenta,3000.0,2021-10-09,2021-10-13,3,Sí,1,3,2021
